,playlist,name,_likelihood,_popularity,distance
6425,"Daryl Hall & John Oates - Greatest Hits--Rock 'n' Soul, Part 1","['Just Dropped In (To See What Condition My Condition Is In)'
 'As the Crow Flies' 'Doctor Wu' 'Once in a Lifetime' 'Love Notes']",[143.91021309 141.9082029  140.91549447 139.57914706 132.56981148],[68.38858256 67.66496365 67.21520206 65.78745999 62.60684504],[0.47521702 0.47682207 0.47698943 0.47132728 0.47225567]
6426,Deerhunter,"['In A Hand Or A Face' 'Valentine' 'The Youth' 'Big Eyed Beans from Venus'
 'Southern Sun']",[216.77038638 189.8669402  185.37532939 182.99838016 178.55032181],[67.9019636  60.67676188 59.26233156 57.57037124 56.73195166],[0.31324373 0.31957518 0.31968834 0.31459498 0.31773649]
6427,Paste Top 50 2014,"['Loneliness Loneliness' 'All of Me' 'San Franciscan Nights'
 'Smoothie Song' 'Once I Had a Sweetheart']",[231.85328565 230.76432198 228.24382022 223.4339934  207.11359803],[65.97869849 64.50847413 67.73726972 66.99340326 62.03426066],[0.2845709  0.27954267 0.29677592 0.29983532 0.29951805]
6428,Metz - METZ,"['Srolanh Srey Touch (I Love Petite Girl)' ""You're My Best Friend""
 'Mainstreet' ""Everybody's Next One"" 'Green Grow The Rushes - Remastered']",[262.38997887 251.66880697 234.4700118  222.843033   221.47749575],[69.21800379 65.43612454 64.39467764 61.14654228 59.93376567],[0.2637982  0.26000888 0.27463929 0.27439288 0.27060883]
6429,Oirua Sabra,"['God Only Knows - Mono' 'They Call the Wind Maria' 'Thirteen'
 'Close Your Eyes (with The André Previn Trio)' 'Born on Halloween']",[170.62941998 169.21867493 167.9912154  163.34853135 161.8241252 ],[69.97759123 69.81017299 69.76702606 68.07872387 67.82338146],[0.41011445 0.41254414 0.41530163 0.41676973 0.41911786]
6430,Rockin' Little Christmas,"['Tuesday Moon' ""Where Corn Don't Grow"" 'Chi-Chi - Take 1 / Alternate'
 'Party Time' 'Bluebird Wine - 2003 Remaster']",[311.55636085 302.57199249 297.35619384 284.77576046 280.29025462],[69.36878194 68.3698437  68.91021083 68.11465765 67.76766734],[0.22265243 0.22596224 0.23174298 0.23918699 0.24177675]
6431,sassy saucy slo-mo shit,['Bed Peace' 'Jazz' 'Close' 'Lovefingers' 'Hell & Back'],[130.08581328 129.63968168 129.58233331 127.03469083 126.51508102],[67.32488075 67.34286553 66.45468125 65.95579752 66.07326761],[0.51754207 0.51946182 0.51283751 0.51919517 0.52225606]
6432,Yoga for Music Lovers,"['Lovefingers' 'Train Man' 'Ends of the Earth' 'Shame on the Night'
 ""King's Vengeance""]",[222.19570281 221.07559256 213.80965911 203.99662637 195.03545432],[65.95579752 65.94833161 61.45570745 59.44511687 58.04301074],[0.29683651 0.29830671 0.28743186 0.29140245 0.29760236]
6433,So this is the new year 2014 (or How I Survived an Arctic Winter),"['Blue Pepper (Far East of the Blues)' 'Fire And The Thud' 'Valentine'
 'Shooting Stars' ""Since You've Been Gone""]",[175.25095564 170.40836942 166.79747735 166.65920672 146.48180277],[63.59892153 62.2005895  60.67676188 61.91637525 54.50968706],[0.362902   0.36500901 0.36377506 0.37151488 0.372126  ]
6434,Best Euphoric Anthems,"['Fire And The Thud' 'Valentine' 'Video Killed The Radio Star'
 'In Christ Alone' 'Shame on the Night']",[190.15064084 179.70471672 177.1769898  176.71126611 175.13881623],[62.2005895  60.67676188 60.88000799 59.39442701 59.44511687],[0.32711217 0.33764702 0.34361126 0.33611002 0.33941714]
6435,Justice – †,"['Melting' 'Mind' 'Outside the Rain - 2016 Remaster' 'One Tree Hill'
 'One Tree Hill']",[195.38262703 170.18682452 167.38200783 161.38491939 161.38491939],[69.57074934 64.13878925 61.45065836 59.19419717 59.19419717],[0.35607439 0.37687282 0.36712822 0.3667889  0.3667889 ]
6436,Sarah Brightman – The Andrew Lloyd Webber Collection,['The Balance' 'Love Has No Pride' 'That Is All' 'In Time' '夢裡相思'],[243.34631488 233.95388024 233.65406671 231.20836898 227.05475579],[67.22269055 65.59002197 66.8518081  66.51556319 64.51314459],[0.2762429  0.2803545  0.28611446 0.28768666 0.28413034]
6437,Sarah Brightman – Classics - The Best of Sarah Brightman,"['Your Sweet Love' 'Porgi, amor from Le nozze di Figaro, K. 492 (Act II)'
 'Warm Foothills' 'Valse sentimentale, Op.51, No.6'
 'Humoresque in G-Flat Major, Op. 101, No. 7 (Arranged for Violin & Orchestra)']",[863.91461561 660.57001597 609.70053714 546.25447432 521.61933918],[68.5442349  67.91748125 68.12040046 64.0160941  66.20531577],[0.07934145 0.10281648 0.11172764 0.11719097 0.12692266]
6438,Shai Maestro Trio,"['Confession' 'That Green Gentleman (Things Have Changed)'
 'Never Gonna Leave This Bed' 'Backwater' 'Only Wanna Be with You']",[         inf 659.09694801 562.73036576 483.29076372 333.89414698],[65.72845652 68.05048372 69.03405699 51.99990704 41.3198535 ],[0.         0.10324806 0.12267697 0.10759549 0.12375136]
6439,La Quinta Estación,"['Letter from America - Band Version' 'In Thee' 'Tobacco Road'
 'Stranger Things (feat. OneRepublic)' 'Space Monkey']",[235.19779028 235.18970625 234.88807123 231.32095971 228.73058058],[65.43608245 66.26481464 65.30326833 64.68899361 62.87847435],[0.27821725 0.28175049 0.27801867 0.27965038 0.27490191]
6440,Dynamic Fondue - 07/25/11,"['Inner City Blues' 'Tobacco Road'
 'Christmas Must Be Tonight - Recorded at Spotify Studios NYC' 'South'
 'Fire And The Thud']",[141.2755452  137.78501167 137.48750668 131.8135808  129.76375877],[67.63911228 65.30326833 65.75774422 62.68492909 62.2005895 ],[0.47877439 0.47395045 0.4782816  0.47555744 0.47933714]
6441,"Joan Baez - Bonfire Adventures, Vol. 2","['Witchcraft' 'Gabrielle' 'Blow Away - 2018 Remaster'
 ""It's Nice To Go Trav'ling - Remastered"" ""Evenin'""]",[149.62469782 145.67021879 144.26206076 142.05203386 140.32314994],[70.31657309 68.65715957 67.95837975 66.43693264 66.22335215],[0.46995298 0.47131912 0.4710759  0.46769434 0.47193462]
6442,Monica Heldal - Boy From The North,"['Eventually - Mono' 'Dangerously In Love' 'Holding You, Loving You' 'Cry'
 ""You've Lost That Lovin' Feeling""]",[130.52837853 129.42735859 128.39196183 127.02177566 126.91938527],[67.44984662 66.43709244 67.35737389 65.6469276  66.541023  ],[0.51674469 0.51331568 0.52462298 0.51681633 0.52427785]
6443,Toro Y Moi - Underneath The Pine ,"['New Beat' 'Soul Dance' 'Rhiannon - Early Take' 'Morning Dance'
 'Every Man Has A Woman Who Loves Him - Remastered 2010']",[         inf 341.81881656 248.27336033 243.16063473 219.66893635],[52.06614622 51.20663417 48.5460697  48.84498749 40.34111011],[0.         0.14980636 0.19553475 0.20087539 0.18364504]
6444,Promise Keepers,"['Seven Bridges Road' ""We Don't Make Love Anymore""
 'Church (Pt. Of Someone)' ""Child's Christmas In Wales""
 'I Will Never Be The Same']",[532.45471458 491.45132082 489.99427768 485.17283974 453.85593525],[66.15250456 67.05400356 67.29197767 66.37346012 64.97200184],[0.12424062 0.13644078 0.13733217 0.13680374 0.14315556]
6445,sertanejo,"['All That You Dream (with Linda Ronstadt)' 'Harvest for the World'
 'Least Complicated' ""I Know There's An Answer - Remastered"" '12月の雨']",[847.09000854 782.88433822 707.37140725 638.97989346 638.67632294],[68.33502076 67.32474045 65.37803437 66.80525499 66.20337471],[0.08067032 0.08599577 0.09242391 0.10454985 0.10365716]
6446,Mylène Farmer — Bleu Noir,"['Are You There (With Another Girl)' 'Castillos' ""It's A Fire""
 'Invisible Sun' 'Work']",[442.36635537 359.08734907 346.90551419 340.9359383  340.19161894],[71.12671163 66.25965678 66.86545658 61.70452234 63.80158071],[0.16078689 0.18452239 0.19274832 0.18098568 0.18754601]
6447,Varis 4,"['The Model' 'Letter To My Ex' ""Didn't I (Blow Your Mind This Time)""
 'Mi Enemigo El Amor' 'Hasta la Raíz']",[277.70555658 270.46439387 267.63433946 262.70791561 258.83523549],[67.95979361 67.77516966 67.29174039 65.50203167 65.02552013],[0.24471888 0.25058814 0.25143164 0.24933406 0.2512236 ]
6448,SIDONIE,"['Blackbird' 'Save It For A Rainy Day' 'Les playboys'
 ""I Think I'm Going To Kill Myself""
 ""Don'tcha Hear Me Callin' To Ya - Remastered 2000""]",[137.59726633 135.25408808 131.66495819 131.42824389 126.05661177],[69.95961339 68.30150553 67.06400557 66.97095644 63.82167843],[0.50843752 0.50498663 0.50935349 0.5095629  0.50629378]
6449,Cream - Complete Clapton,"['Harness Your Hopes - (B-side)' 'Feels So Good - Single Version'
 'Wings Of My Love' 'Frank Sinatra' 'Frank Sinatra']",[246.86647334 235.68910991 225.65697148 217.47571632 217.47571632],[67.12038708 68.23497796 64.891883   63.41380338 63.41380338],[0.27188944 0.28951265 0.2875687  0.29159027 0.29159027]
6450,hiljaisiin hetkiin,"['Living on a Thin Line' 'Mind' 'Sunset' 'Ends of the Earth'
 'One Tree Hill - Remastered 2007']",[161.56366765 160.74347374 160.69146969 157.81584446 149.2137033 ],[64.30184315 64.13878925 61.89425205 61.45570745 59.98524833],[0.39799693 0.39901333 0.38517447 0.38941405 0.40200898]
6451,Lee Morse,"[""Three O'Clock In The Morning"" 'Everybody Loves Somebody'
 'O Come All Ye Faithful' 'Palm Desert' ""Pretend You Don't See Her""]",[828.84458241 715.60597888 661.03585468 647.82066261 586.70107328],[69.24265778 67.43426013 67.07938658 65.92704803 64.44533691],[0.08354118 0.09423379 0.10147617 0.10176744 0.10984356]
6452,Best songs of 2015,"['Train Man' 'Tobacco Road' 'Fire And The Thud' 'Ends of the Earth'
 'Valentine']",[163.14390722 160.52630958 155.3420013  149.1298626  146.69508921],[65.94833161 65.30326833 62.2005895  61.45570745 60.67676188],[0.40423411 0.40680726 0.40041064 0.41209525 0.41362504]
6453,Wine Night,"['No Trash in My Trailer' 'Tobacco Road'
 ""It May Be Winter Outside (But In My Heart It's Spring)"" 'Falling'
 'No Time']",[191.64395514 190.66573998 188.98420576 185.23688979 184.06667272],[67.39900487 65.30326833 66.80384126 65.04536632 64.96908883],[0.35168866 0.34250132 0.35348902 0.35114694 0.35296498]
6454,Ricardo,"['Harness Your Hopes - (B-side)' 'Train Man' 'Tobacco Road' 'Mind'
 'Frank Sinatra']",[169.86811292 169.63821328 163.09553469 160.22998666 157.33632906],[67.12038708 65.94833161 65.30326833 64.13878925 63.41380338],[0.39513235 0.3887587  0.40039887 0.40029205 0.40304616]
6455,Happy Occasion Singers – 50 Best of Birthday Party Songs,"[""I Think I'm In Love"" ""I'll Be Creeping"" 'Version City - Remastered'
 'Ride Captain Ride' ""Haven't Seen It Yet""]",[177.5253568  162.16711675 154.4543638  154.03655275 141.37658227],[67.52902667 61.35309178 58.09231112 57.69694201 53.47552938],[0.38039088 0.37833251 0.37611311 0.37456656 0.37824885]
6456,"Bob Dylan, Wilco and My Morning Jacket","['Tobacco Road' 'Dust in the Wind' 'Moving Target'
 'For an Old Kentucky Anarchist' 'No Time']",[271.34907601 269.97579947 269.86572197 257.85716468 250.1531683 ],[65.30326833 67.11430362 65.64885006 66.05740245 64.96908883],[0.24066147 0.24859378 0.24326487 0.25617827 0.25971723]
6457,Calamaro Best,"['Pavido Navido' 'Stage Fright - Remastered 2000' ""It Doesn't Matter""
 'Shut Up' 'Ship Of Fools']",[183.33237916 181.51209238 175.70213574 175.54697733 174.43143896],[69.88383041 68.28435427 66.42786523 66.15044102 66.16623106],[0.38118651 0.37619727 0.3780709  0.37682472 0.37932515]
6458,march,"['Home' 'Stereo' 'Light On' 'Gone, Gone, Gone' 'None Shall Pass']",[171.05999376 169.88500526 169.57509722 161.88531848 147.83971406],[67.2674648  68.58545952 68.79548595 65.88301464 60.31615777],[0.39323902 0.40371697 0.40569333 0.40697338 0.40798346]
6459,mbt,"[""Jumpin' Jack Flash"" 'Night Flight - 1993 Remaster'
 'Have You Ever Seen the Rain?' 'Southern Sun' 'Chinese Translation']",[177.34661717 173.74226964 158.40542083 155.73083669 155.52759655],[64.75105392 62.20555374 57.35280178 56.73195166 56.56678893],[0.36511017 0.3580335  0.36206338 0.36429491 0.36370901]
6460,action bronson,"['In Thee' 'Letter from America - Band Version'
 'Christmas Must Be Tonight - Recorded at Spotify Studios NYC'
 'Mi Enemigo El Amor' 'Tobacco Road']",[154.74546311 154.66489169 154.21865498 152.6357038  152.04119587],[66.26481464 65.43608245 65.75774422 65.50203167 65.30326833],[0.42821814 0.42308297 0.42639293 0.42913964 0.42951036]
6461,2014 Sit Down Calm Down New Chill Tunes,"['The Fear' 'Whiskey Sunrise' ""You'll Be Back"" ""Miss Judy's Farm""
 'Falling']",[249.62419313 248.08054234 242.21181563 241.05516384 235.36707295],[66.60089775 67.52135824 67.89909831 64.40495454 65.04536632],[0.26680466 0.27217515 0.28032942 0.26717932 0.27635712]
6462,New Order - Singles (Disc 1),['May This Be Love' 'Freedom Song' 'Stop' 'Hush' 'Once I Had a Sweetheart'],[214.41069003 204.76306339 202.51950857 196.55044614 187.77556323],[67.42047906 65.48681285 66.37281667 60.90039185 62.03426066],[0.31444551 0.31981751 0.32773542 0.30984611 0.33036386]
6463,mixy mix,"['Desperado' 'Daylight/Moonlight' 'Brokedown Palace - 2001 Remaster'
 'I Am An Animal' ""Darlin'""]",[249.26872807 243.63110084 238.55689889 230.80938239 228.47365573],[68.01188577 67.94255519 67.6967049  65.65915028 64.73114902],[0.27284564 0.27887472 0.28377593 0.28447349 0.28331997]
6464,Candy Paint,['Baby' 'Back To You' 'Late Night' 'Buck Em Down' 'Refugee - Alt. Take'],[161.04819658 160.27448845 150.59397704 146.74955068 143.37835696],[67.60631992 67.08041043 63.13731429 61.56176159 59.50598716],[0.41978936 0.41853455 0.41925524 0.41950222 0.41502768]
6465,ferraby lionheart,"['Arkansas' 'Mystery' 'Skinnyman' 'Wrathchild - 2015 Remaster'
 'Place In The Country']",[         inf 365.5091532  323.27140464 301.38862737 260.54444568],[60.48628024 53.40762676 46.6438679  58.9922464  51.52300707],[0.         0.14611844 0.14428702 0.19573481 0.19775132]
6466,Moby – Hotel : Ambient,"[""Don't Make Me Dream About You"" 'Lo Nuestro Terminó' 'Sister Midnight'
 'Little Angel Child' ""I've Always Been Crazy""]",[157.6750293  157.1444743  145.65394839 145.50728293 139.06179903],[66.72175148 66.37917668 61.20887245 61.81645103 57.51787309],[0.42315991 0.4224086  0.4202349  0.42483407 0.41361376]
6467,J Cole – Cole World: The Sideline Story,"['Greatest-Hits' 'May This Be Love' ""Time's Up"" 'Train Man'
 'Blue Pepper (Far East of the Blues)']",[166.08457018 164.94714273 163.33978733 161.53485023 157.40970878],[67.44306341 67.42047906 67.32190205 65.94833161 63.59892153],[0.40607664 0.4087399  0.41215862 0.4082607  0.4040343 ]
6468,Mirrielees Lounge,"['Snow In San Anselmo' 'Brown Sugar' 'Take Five' ""Blue 'N Boogie""
 'Sermonette']",[162.99978178 158.128113   145.19411033 135.6107296   87.53294289],[62.73533414 64.43323504 59.27664691 55.11738155 35.61935125],[0.38487987 0.40747489 0.40825793 0.40643821 0.4069251 ]
6469,Erykah Badu – New Amerykah Part One (4th World War),['Train Man' 'Mind' 'Frank Sinatra' 'Frank Sinatra' 'Fire And The Thud'],[186.48066521 180.89802565 179.7354311  179.7354311  178.20151944],[65.94833161 64.13878925 63.41380338 63.41380338 62.2005895 ],[0.35364702 0.35455771 0.35281749 0.35281749 0.34904635]
6470,Sun Kil Moon – Among The Leaves,"['Christmas Must Be Tonight - Recorded at Spotify Studios NYC' 'GG Train'
 'Come Back' ""Stop Messin' Round - Bonus Track: Take 1 - False Start""
 ""Ain't That a Lot of Love""]",[265.23826763 258.50651851 257.43591098 251.34907679 251.30616048],[65.75774422 65.51607105 64.1220079  64.15747419 65.54826096],[0.24791952 0.25344069 0.2490795  0.25525248 0.2608303 ]
6471,The Hellacopters - The Best,"['Cheap Sunglasses' 'Hold On' 'Space Monkey' 'Christmas'
 ""Since You've Been Gone""]",[225.96934096 210.96600076 204.75569929 195.6309517  179.78913206],[68.2791028  65.2277253  62.87847435 60.63135572 54.50968706],[0.30216091 0.30918596 0.30709023 0.30992721 0.30318677]
6472,Sack,"['Someone That Loves You' 'Headed for a Fall' 'Holy Roller' 'One Love'
 'Plenty']",[542.62932777 463.23851832 460.15046238 456.14806394 419.53314275],[56.3085328  57.42389045 57.715961   59.90702579 53.73455695],[0.10376979 0.12396182 0.12542845 0.13133241 0.12808179]
6473,Workout Hip-Hop 2,"['All Eyez On Me (ft. Big Syke)' ""MC's Act Like They Don't Know""
 'Adrenaline!' 'Boyz-N-The-Hood - Remix' 'Eric B. Is President']",[964.15970355 461.08938315 352.35940837 350.68264973 342.04016131],[59.11178323 66.57976668 54.57606159 47.84942578 49.38945672],[0.06130912 0.14439666 0.15488748 0.13644652 0.14439666]
6474,UNTITLED (tracks used in the mix),"['Rastaman Live Up' 'All Night Long' 'Groundation Chant'
 'Radio Ga Ga - Extended Remix' 'Watermelon Man']",[180.27350784 176.01525605 171.03430778 162.3802678  108.87306835],[60.98426808 61.11072276 57.36914873 54.95068122 36.89471369],[0.33828747 0.34718992 0.3354248  0.33840738 0.33887824]
6475,Oldies 90's,"['In Thee' 'Letter from America - Band Version' 'Tobacco Road'
 'High Flying Bird' 'Space Monkey']",[199.23507277 197.77712082 195.44718211 191.46247697 184.49718253],[66.26481464 65.43608245 65.30326833 65.54341668 62.87847435],[0.33259613 0.3308577  0.33412233 0.34233035 0.34080994]
6476,eat my shorts,['Tobacco Road' 'Fire And The Thud' 'South' 'Space Monkey' 'Valentine'],[186.34975475 186.1312113  178.99071009 178.23620436 172.6858784 ],[65.30326833 62.2005895  62.68492909 62.87847435 60.67676188],[0.35043388 0.33417603 0.35021331 0.35278172 0.35137072]
6477,DC and Beyonce ,"['Paranoia in B Major' 'No Trash in My Trailer' 'Tobacco Road' 'No Time'
 'So Fine']",[180.22169689 178.41003923 178.10643737 171.96545134 168.10651043],[67.74978296 67.39900487 65.30326833 64.96908883 63.24782302],[0.37592468 0.37777585 0.36665305 0.37780315 0.37623661]
6478,Fall out boy,"['Be Good Johnny' 'Mainstreet' 'Vía Láctea' 'I Came As a Rat'
 'American Dream']",[133.4201845  129.17416067 127.69356676 124.04318319 113.23469821],[66.92708516 64.39467764 63.57698083 61.91049856 56.76448483],[0.50162639 0.49851052 0.49788711 0.4991044  0.50129939]
6479,Styx – Come Sail Away: The Styx Anthology,"['Hold On' 'Christmas' 'Christmas' 'We Never Danced To A Love Song'
 'Burning Heart']",[182.24271525 169.3353615  169.3353615  168.04752913 161.03015211],[65.2277253  60.63135572 60.63135572 59.41548394 56.92191413],[0.35791678 0.3580549  0.3580549  0.35356357 0.35348606]
6480,Sk8ing,"['Train Man' 'Frank Sinatra' 'Frank Sinatra' 'Frank Sinatra'
 'Version City - Remastered']",[304.08407446 290.01015654 290.01015654 288.00649971 264.73302023],[65.94833161 63.41380338 63.41380338 63.45590865 58.09231112],[0.21687532 0.21866063 0.21866063 0.22032804 0.21943735]
6481,alejandro_fernandez-00-viento_a_favor-es-2007-fam,"['Stage Fright - Remastered 2000' 'Plastic Factory'
 ""Just You 'N' Me - 2002 Remaster"" 'Doce Rosas'
 'Brooklyn Girls - Remastered']",[146.22428501 145.10041964 142.98957825 142.35932447 142.29078701],[68.28435427 67.58965893 66.40674029 66.67616278 66.40253283],[0.46698368 0.46581298 0.46441665 0.46836527 0.46666783]
6482,OS 2011,"[""I Think I'm In Love"" 'In Thee' 'Space Monkey' 'Chinese Translation'
 'Southern Sun']",[165.25759931 161.86432494 153.95057856 139.1429232  138.74870787],[67.52902667 66.26481464 62.87847435 56.56678893 56.73195166],[0.40862887 0.40938493 0.40843286 0.4065373  0.40888274]
6483,A&G party playlist,"['Mi Enemigo El Amor' ""I'll Be Creeping"" 'Ride Captain Ride'
 ""Can't Get Enough - Take 1"" 'Version City - Remastered']",[225.27035237 222.32459811 204.98757523 202.20158098 201.99430953],[65.50203167 61.35309178 57.69694201 59.1264465  58.09231112],[0.29077076 0.27596178 0.28146556 0.29241337 0.2875938 ]
6484,Levi's Music 1994,"[""You're No Good"" ""Don't Misunderstand Me"" 'Plastic Factory'
 'Every Little Counts' 'Stand By Me - Remastered 2010']",[228.63930378 225.15479806 224.45819731 221.39186702 217.65540064],[67.92230849 67.40901778 67.58965893 65.24659372 64.97373976],[0.29707188 0.29938966 0.30112359 0.29471089 0.29851655]
6485,chill stuff,"['Tender Surrender' 'These Things' 'Why!...' 'Painted Desert'
 'Another Night']",[129.11854033 122.45146692 121.06763392 103.18987323  93.32500619],[61.94195543 58.17342906 57.73496801 50.02685369 45.62946388],[0.47972937 0.47507335 0.47688194 0.48480391 0.48893074]
6486,Best Albums of 2012-2013,"['Train Man' 'Tobacco Road' 'Fire And The Thud'
 'Blue Pepper (Far East of the Blues)' 'So Fine']",[176.54219874 172.18441787 166.17883388 164.15735819 163.85703115],[65.94833161 65.30326833 62.2005895  63.59892153 63.24782302],[0.37355563 0.37926352 0.37429911 0.38742657 0.38599395]
6487,Josh Vietti – Best of Both Worlds,"[""Miss Judy's Farm"" 'The Fear' 'Loneliness Loneliness' 'So Fine'
 'Ends of the Earth']",[164.59148366 164.38596724 163.16581541 156.61046976 151.84304082],[64.40495454 66.60089775 65.97869849 63.24782302 61.45570745],[0.39130187 0.40514953 0.40436594 0.40385437 0.4047318 ]
6488,Drive Album,"['Classical Gas' '6 Underground' 'Kahlil Gibran' 'With Teeth'
 ""It's Only Sex""]",[196.76925414 195.05476482 185.29204403 181.63188753 166.0711799 ],[63.3762873  65.08210397 60.65474469 55.13812936 51.15431171],[0.3220843  0.33366067 0.32734673 0.30357076 0.30802642]
6489,I'm Gonna Be (500 Miles),"[""I Think I'm In Love"" 'Back To You' 'Letter from America - Band Version'
 'Space Monkey' 'Drive']",[290.36635694 287.6343707  284.92654571 278.09363812 258.86715546],[67.52902667 67.08041043 65.43608245 62.87847435 60.34286411],[0.23256491 0.23321417 0.22965948 0.2261054  0.23310359]
6490,My Rock Solid playlist,"['I Came As a Rat' 'Persuasion' 'Party' ""You Got Me Runnin'""
 ""You Got Me Runnin'""]",[198.48444904 196.85431354 190.25670944 173.91565628 173.91565628],[61.91049856 62.23051368 59.50165363 54.1188302  54.1188302 ],[0.31191612 0.31612471 0.31274405 0.3111786  0.3111786 ]
6491,"Olivia, 50 Cent — Candy Shop","['This Is Love' 'El Hijo Desobediente' ""Drivin' - Mono Mix"" 'Bring It On'
 'Por Tu Maldito Amor']",[228.28600891 217.20415451 217.14278236 193.85001992 185.50631682],[69.9636178  67.89336075 68.14223556 61.09881835 58.5644949 ],[0.30647352 0.31257855 0.31381303 0.31518603 0.31570081]
6492,Crunch Squat Run,"['Shooting Stars' 'Take Me' 'Gate and Garden - 2016 Remaster' 'Circle'
 'Lay It All on Me (feat. Ed Sheeran)']",[198.95951551 192.91894637 184.54400683 177.85547669 170.96104173],[61.91637525 61.73962049 59.54927573 57.01577038 54.77934074],[0.31120087 0.32002881 0.32268334 0.3205736  0.32042002]
6493,Missy Elliott – Miss E...So Addictive,"['ZIPPER' 'Im a Dog (feat. Gucci Mane)'
 'Drunk Off Your Love (feat. Sky Blu of LMFAO)' 'Northeast Texas Woman'
 'Wetter (Calling You Daddy)']",[311.20830495 299.53833502 285.75916402 276.68170734 246.52438942],[69.18992278 65.48141977 63.28637286 61.23771388 54.60362027],[0.22232672 0.21860781 0.22146752 0.2213291  0.22149379]
6494,The Black Keys – Brothers (Deluxe Edition),"['Tobacco Road' 'In Thee' 'Would That I'
 ""Arthur's Theme (Best That You Can Do)"" 'South']",[222.33530997 210.01241029 205.79691719 205.36937927 199.99388553],[65.30326833 66.26481464 64.21160215 64.67964342 62.68492909],[0.29371524 0.31552809 0.3120144  0.31494298 0.31343423]
6495,inxs,"['Problems' 'Kings & Queens (Throw It Up)'
 'Fooled Around And Fell In Love' 'Absolute' 'Sound & Vision']",[277.74688573 273.2368649  241.04461023 192.97636988 188.65863403],[66.78537574 62.49543656 56.97932871 46.25721865 45.36979838],[0.24045409 0.22872256 0.23638499 0.23970406 0.2404862 ]
6496,OMD,"['Spirit In The Sky' 'Frank Sinatra' 'Frank Sinatra' 'Frank Sinatra'
 'Might As Well Get Stoned']",[170.04520294 163.88032676 163.82189964 163.82189964 157.60650668],[65.63263754 63.45590865 63.41380338 63.41380338 59.86511263],[0.38597171 0.38720882 0.3870899  0.3870899  0.37983909]
6497,Jenny offline,"['Home' 'In Thee' 'Letter from America - Band Version' 'Moving Target'
 'The Rumor - Remastered 2000']",[217.76999713 216.97044058 213.48059913 208.42371347 198.40167241],[67.2674648  66.26481464 65.43608245 65.64885006 62.38742224],[0.30889225 0.30540941 0.30652004 0.31497784 0.31445008]
6498,Jhene Aiko - Sail Out,"['Highwayman' 'Drive' 'Witch Hunt' 'The Phantom Of the Opera'
 'Easy - Single Version']",[154.82440168 154.23915199 150.36777628 147.51260291 146.4902636 ],[68.71962853 67.10334807 66.87114354 65.93582352 65.38405127],[0.44385528 0.43506041 0.44471725 0.44698434 0.44633718]
6499,27 Ball,"['Dios Sí Perdona, el Tiempo No' ""Don't Take Me Alive"" 'The Logical Song'
 'I Follow Rivers' 'Soft-Hearted Hana - Remastered 2004']",[144.81814779 140.16063687 138.70953112 138.28546432 138.01667867],[70.13224796 67.80488616 66.59449652 66.8407281  66.546675  ],[0.48427803 0.48376554 0.48010037 0.48335325 0.48216401]
6500,This Mortal Coil – Blood,"['Coast Of California - Remastered' ""I'm Lucky"" 'Le Monde'
 'Loneliness Loneliness' 'All of Me']",[134.58187878 131.10171637 130.85089501 124.72450842 123.66656758],[70.08511559 68.90261852 68.70596791 65.97869849 64.50847413],[0.52076191 0.52556611 0.52507068 0.52899546 0.52163228]
6501,Yuppy Vampires,"[""Don't Need No Reason"" ""I Think I'm In Love"" ""You're My Best Friend""
 'Ride Captain Ride' 'Change My Ways']",[233.77404468 233.40152589 224.10552163 200.52024685 195.07219078],[67.69916023 67.52902667 65.43612454 57.69694201 56.57383198],[0.28959229 0.28932556 0.29198801 0.28773624 0.29001485]
6502,Hipster 101,"['May This Be Love' 'Freedom Song' ""Miss Judy's Farm"" 'Mind' 'Sunset']",[202.05465916 193.7396225  190.65214531 187.78146392 183.8323158 ],[67.42047906 65.48681285 64.40495454 64.13878925 61.89425205],[0.33367446 0.33801456 0.33781395 0.34156081 0.33668864]
6503,Jody Wisternoff – Anjunadeep 05,"['Home' 'Your Love Oh Lord (Psalm 36)' 'In Thee'
 'Sunrise (feat. Jason Walker)' 'Letter from America - Band Version']",[202.24371097 201.18984711 195.20805351 192.91483137 192.24478911],[67.2674648  69.09200456 66.26481464 66.41077837 65.43608245],[0.33260597 0.34341695 0.33945738 0.34424921 0.34037897]
6504,James & Evander,"['Feels So Good - Single Version' 'Harness Your Hopes - (B-side)'
 '¡Que Vida!' '¡Que Vida!' ""Rachel's Song""]",[223.47042786 215.8137121  212.20313251 212.20313251 205.49170099],[68.23497796 67.12038708 66.29735083 66.29735083 66.20244611],[0.30534232 0.31101076 0.312424   0.312424   0.32216603]
6505,THE LAST ARCADIAN,"['Love Is Blue' 'San Franciscan Nights' 'Sunset' 'Freedom Song'
 'Hats off To (Roy) Harper - Remaster']",[223.70752778 212.02609379 208.27135462 207.48049196 204.46101705],[66.56758396 67.73726972 61.89425205 65.48681285 66.72415392],[0.29756524 0.3194761  0.29718082 0.31562877 0.32634169]
6506,Vintage FG,"['May This Be Love' ""Time's Up"" ""Time's Up"" 'Train Man' 'Mind']",[178.96576904 172.43895588 172.22988913 168.91307384 166.13569298],[67.42047906 69.72104243 67.32190205 65.94833161 64.13878925],[0.37672276 0.40432304 0.39088397 0.39042763 0.38606267]
